startup_name,sector,city,investors,stage,amount_usd,description
Byju’S,E-Tech,Bengaluru,Tiger Global Management,Private Equity Round,200000000.0,E-Tech - E-learning
Shuttl,Transportation,Gurugram,Susquehanna Growth Equity,Series C,8048394.0,Transportation - App based shuttle service
Mamaearth,E-Commerce,Bengaluru,Sequoia Capital India,Series B,18358860.0,E-commerce - Retailer of baby and toddler products
Https://Www.Wealthbucket.In/,Fintech,Delhi,Vinod Khatumal,Pre-Series A,3000000.0,FinTech - Online Investment
Fashor,Fashion And Apparel,Mumbai,Sprout Venture Partners,Seed,1800000.0,Fashion and Apparel - Embroiled Clothes For Women
Pando,Logistics,Chennai,Chiratae Ventures,Series A,9000000.0,"Logistics - Open-market, freight management platform"
Zomato,Hospitality,Gurugram,Ant Financial,Private Equity Round,150000000.0,Hospitality - Online Food Delivery Platform
Ecozen,Technology,Pune,Sathguru Catalyzer Advisors,Series A,6000000.0,Technology - Agritech
Cardekho,E-Commerce,Gurugram,Ping An Global Voyager Fund,Series D,70000000.0,E-Commerce - Automobile
Dhruva Space,Aerospace,Bengaluru,"Mumbai Angels, Ravikanth Reddy",Seed,50000000.0,Aerospace - Satellite Communication
Rivigo,Technology,Gurugram,"Saif Partners, Spring Canter Investment Ltd.",Series F,20000000.0,Technology - Logistics Services and Solutions
Healthians,B2B-Focused Foodtech Startup,Bengaluru,"Paytm, Nptk, Sabre Partners And Neoplux",Series C,12000000.0,B2B-focused foodtech startup - Food Solutions For Corporate
Licious,E-Commerce,Bengaluru,Vertex Growth Fund,Series E,30000000.0,E-Commerce - Online Meat And Seafood Ordering Startup
Trell,Video,Bengaluru,Ruizheng Investment,Seed,2000000.0,Video - Experience Discovery Platform
Rein Games,Gaming,Noida,Manipal Education And Medical Group (Memg),Seed,50000000.0,Gaming - Real money based gaming startup
Lenskart.Com,E-Commerce,Faridabad,Softbank Vision Fund,Series G,231000000.0,E-Commerce - Online Eyewear Shopping Portal
Freshworks,Software,San Francisco,"Sequoia, Capitalg, Accel",Series H,150000000.0,Software - Business and customer engagement tools
Misters,Health And Wellness,Gurugram,"Sauce.Vc, Rainforest Ventures",Series B,486000.0,Health and wellness - Men's Health and Wellness brand
Sunstone Eduversity Pvt. Ltd,Education,Gurugram,"Prime Venture Partners, Letsventure, Ps1 Venture And Globallogic Co-Founder Rajul Garg",Seed,1500000.0,Education - Elearning
Ninjacart,B2B Marketing,Bengaluru,Trifecta Capital Advisors,Debt Funding,26000000.0,B2B Marketing - Agritech
Aye Finance,Fintech,Gurugram,Fintech,Debt Funding,17411265.0,FinTech - Financial Services To MSMEs
Supergaming,Video Games,Pune,Dream Incubator,Seed,1300000.0,Video Games - Social gaming platform
Clumio,Saas,"San Jose,","Altimeter Capital, Sutter Hill Ventures",Series C,135000000.0,SaaS - Recovery software
Ebikego,Last Mile Transportation,Amritsar,Startup Buddy,Seed,300000.0,Last Mile Transportation - Electric bike rental
Digital Mall Asia,E-Commerce,Delhi,Amour Infrastructure,Seed,220000000.0,E-Commerce - Virtual e-commerce platform
Medikabazaar,Healthcare,Mumbai,"Ackermans & Van Haaren, Healthquad, Rebright Partners, Toppan Printing",Series B,15800000.0,Healthcare - B2B platform for medical supplies
Vogo Automotive,Last Mile Transportation,Kormangala,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital",Series B,283000000.0,Last Mile Transportation - Scooter sharing app
Paytm,Fintech,Noida,Vijay Shekhar Sharma,Funding Round,1000000000.0,FinTech - Mobile Wallet
Dunzo,Customer Service,Bengaluru,Lightbox,Series D,45000000.0,Customer Service - Delivery Service
